test,0
test2,200
test3,700
test4,0
test5,600
test6,900,2026-05-28,13:38:08
test7(power up),800,2026-05-28,13:54:59
büş,1500,2026-05-29,17:26:15
büş2,1100,2026-05-29,17:29:40
berkin,900,2026-05-29,17:33:37
cano(hard),1600,2026-05-29,17:39:15
Irmoş,1700,2026-05-31,13:42:57
canoo,4000,2026-05-31,13:50:21
Irmoş2,2200,2026-05-31,13:53:37
cano(hard),2300,2026-05-31,14:19:10
